,school,sex,age,address,Medu,Mjob,studytime,failures,schoolsup,romantic,goout,score
58,GP,M,15,0.0,1.0,other,2.0,0.0,1,0.0,2.0,45.0
59,GP,F,16,0.0,4.0,None,2.0,0.0,0,0.0,3.0,80.0
60,GP,F,16,1.0,4.0,health,2.0,0.0,0,0.0,4.0,55.0
62,GP,F,16,0.0,1.0,other,2.0,0.0,1,0.0,3.0,45.0
63,GP,F,16,0.0,4.0,teacher,3.0,0.0,1,0.0,4.0,45.0
64,GP,F,15,0.0,4.0,services,2.0,0.0,1,1.0,4.0,50.0
65,GP,F,16,0.0,4.0,teacher,2.0,0.0,0,0.0,3.0,75.0
66,GP,M,15,0.0,4.0,other,4.0,0.0,0,1.0,3.0,60.0
67,GP,F,16,0.0,3.0,services,4.0,0.0,1,-1.0,3.0,30.0
68,GP,F,15,1.0,2.0,health,2.0,-1.0,1,0.0,3.0,40.0
69,GP,F,15,1.0,3.0,other,4.0,0.0,0,0.0,2.0,80.0
70,GP,M,16,0.0,3.0,other,4.0,0.0,0,0.0,2.0,75.0
71,GP,M,15,0.0,4.0,other,4.0,0.0,0,0.0,3.0,50.0
72,GP,F,15,1.0,1.0,other,2.0,2.0,1,1.0,4.0,25.0
73,GP,M,16,0.0,3.0,other,1.0,0.0,0,0.0,2.0,70.0
75,GP,M,15,-1.0,4.0,teacher,2.0,0.0,0,-1.0,3.0,50.0
77,GP,F,16,0.0,2.0,other,4.0,0.0,0,1.0,3.0,55.0
78,GP,M,17,0.0,2.0,other,1.0,3.0,1,0.0,1.0,50.0
80,GP,M,15,0.0,2.0,other,1.0,0.0,1,1.0,2.0,60.0
81,GP,M,15,0.0,2.0,other,3.0,0.0,1,0.0,2.0,55.0
82,GP,F,15,0.0,3.0,services,2.0,0.0,0,0.0,4.0,30.0
83,GP,M,15,0.0,2.0,services,2.0,0.0,0,0.0,3.0,75.0
84,GP,F,15,0.0,1.0,other,2.0,0.0,0,0.0,2.0,50.0
85,GP,F,15,0.0,4.0,services,2.0,2.0,0,1.0,4.0,40.0
86,GP,F,16,0.0,2.0,at_home,2.0,0.0,0,0.0,4.0,30.0
87,GP,F,15,0.0,4.0,other,3.0,0.0,0,0.0,3.0,70.0
88,GP,M,16,0.0,2.0,None,2.0,1.0,0,0.0,2.0,50.0
90,GP,F,16,0.0,3.0,other,3.0,0.0,0,1.0,3.0,40.0
93,GP,F,16,0.0,4.0,teacher,2.0,0.0,0,0.0,3.0,50.0
94,GP,M,15,0.0,2.0,services,4.0,0.0,0,0.0,4.0,70.0
95,GP,F,15,1.0,1.0,at_home,4.0,1.0,1,0.0,2.0,50.0
96,GP,M,16,-1.0,4.0,services,1.0,0.0,1,0.0,3.0,75.0
97,GP,F,16,0.0,2.0,other,2.0,0.0,0,1.0,5.0,50.0
98,GP,F,16,0.0,4.0,other,1.0,0.0,0,0.0,4.0,70.0
99,GP,F,16,0.0,4.0,other,3.0,0.0,1,0.0,5.0,40.0
100,GP,M,16,0.0,4.0,services,1.0,0.0,1,0.0,5.0,25.0
102,GP,M,15,0.0,4.0,services,1.0,0.0,0,0.0,3.0,70.0
103,GP,F,15,0.0,3.0,services,2.0,0.0,1,0.0,5.0,30.0
104,GP,M,15,0.0,3.0,None,2.0,0.0,0,0.0,4.0,90.0
105,GP,F,15,0.0,3.0,other,4.0,0.0,1,0.0,3.0,55.0
106,GP,F,15,0.0,2.0,other,4.0,0.0,1,0.0,2.0,40.0
107,GP,M,16,0.0,3.0,services,3.0,-1.0,0,0.0,3.0,90.0
109,GP,F,16,0.0,4.0,health,3.0,0.0,0,1.0,5.0,80.0
110,GP,M,15,0.0,4.0,teacher,1.0,0.0,0,0.0,3.0,95.0
111,GP,F,16,1.0,3.0,services,3.0,1.0,1,0.0,2.0,50.0
113,GP,M,15,0.0,4.0,teacher,1.0,0.0,0,0.0,2.0,95.0
114,GP,M,15,1.0,2.0,health,2.0,-1.0,0,1.0,2.0,45.0
115,GP,M,16,0.0,4.0,teacher,2.0,-1.0,0,0.0,4.0,80.0
116,GP,M,15,0.0,4.0,other,2.0,0.0,0,0.0,3.0,70.0
117,GP,M,16,0.0,3.0,other,1.0,0.0,0,0.0,2.0,65.0
118,GP,M,17,1.0,1.0,other,2.0,1.0,0,0.0,4.0,40.0
119,GP,M,15,0.0,3.0,other,1.0,0.0,0,0.0,3.0,65.0
121,GP,M,15,0.0,2.0,services,4.0,0.0,0,0.0,4.0,75.0
122,GP,F,16,0.0,2.0,other,2.0,0.0,0,1.0,2.0,65.0
123,GP,M,16,0.0,4.0,health,1.0,0.0,0,0.0,4.0,65.0
124,GP,F,16,0.0,2.0,other,2.0,0.0,0,1.0,4.0,40.0
125,GP,M,15,0.0,3.0,services,1.0,-1.0,1,0.0,5.0,60.0
126,GP,F,15,0.0,3.0,other,2.0,0.0,1,1.0,2.0,55.0
127,GP,F,19,0.0,0.0,at_home,2.0,3.0,0,0.0,2.0,45.0
128,GP,M,18,1.0,2.0,None,1.0,2.0,0,0.0,3.0,0.0
130,GP,F,15,1.0,3.0,services,3.0,2.0,0,1.0,2.0,0.0
131,GP,F,15,0.0,1.0,at_home,1.0,0.0,0,1.0,3.0,0.0
132,GP,F,17,0.0,2.0,other,1.0,0.0,0,1.0,4.0,60.0
133,GP,F,16,0.0,3.0,services,1.0,0.0,0,0.0,1.0,55.0
134,GP,M,15,1.0,3.0,at_home,2.0,0.0,0,1.0,3.0,0.0
135,GP,F,15,0.0,4.0,services,3.0,0.0,0,1.0,3.0,0.0
136,GP,M,17,1.0,3.0,at_home,2.0,0.0,0,0.0,5.0,0.0
137,GP,F,16,0.0,3.0,other,1.0,2.0,0,1.0,2.0,0.0
138,GP,M,16,0.0,1.0,services,2.0,1.0,0,1.0,4.0,60.0
139,GP,F,15,0.0,4.0,teacher,1.0,0.0,0,-1.0,2.0,75.0
140,GP,M,15,0.0,4.0,teacher,4.0,0.0,1,0.0,2.0,0.0
141,GP,M,16,0.0,2.0,services,1.0,2.0,0,0.0,3.0,45.0
142,GP,F,15,0.0,4.0,teacher,3.0,0.0,0,0.0,2.0,55.0
143,GP,F,16,0.0,1.0,at_home,1.0,0.0,0,0.0,4.0,65.0
144,GP,M,17,0.0,2.0,other,1.0,3.0,0,0.0,5.0,0.0
145,GP,F,15,0.0,1.0,None,2.0,0.0,0,0.0,2.0,55.0
146,GP,F,15,0.0,3.0,health,2.0,3.0,0,0.0,2.0,0.0
147,GP,F,15,0.0,1.0,at_home,2.0,0.0,0,-1.0,2.0,55.0
148,GP,M,16,0.0,4.0,teacher,1.0,0.0,0,1.0,2.0,0.0
152,GP,F,15,1.0,3.0,services,3.0,2.0,0,1.0,1.0,50.0
153,GP,M,19,0.0,3.0,services,1.0,-1.0,0,1.0,4.0,0.0
154,GP,F,17,0.0,4.0,other,1.0,0.0,1,1.0,1.0,60.0
155,GP,M,15,1.0,2.0,at_home,2.0,0.0,1,-1.0,4.0,40.0
156,GP,M,17,1.0,1.0,None,1.0,0.0,0,0.0,2.0,65.0
157,GP,F,18,1.0,1.0,at_home,1.0,3.0,0,0.0,5.0,50.0
158,GP,M,16,1.0,2.0,at_home,1.0,-1.0,0,0.0,2.0,75.0
159,GP,M,16,-1.0,3.0,other,2.0,1.0,0,1.0,5.0,60.0
160,GP,M,17,1.0,2.0,at_home,1.0,2.0,0,1.0,2.0,0.0
161,GP,M,15,1.0,3.0,other,2.0,2.0,1,1.0,4.0,35.0
162,GP,M,16,0.0,1.0,other,1.0,1.0,0,-1.0,4.0,0.0
163,GP,M,17,0.0,1.0,at_home,1.0,0.0,0,0.0,3.0,50.0
165,GP,M,16,0.0,3.0,services,1.0,1.0,0,0.0,2.0,60.0
166,GP,M,16,0.0,2.0,None,2.0,0.0,0,0.0,5.0,50.0
167,GP,F,16,0.0,4.0,health,2.0,0.0,0,1.0,3.0,80.0
168,GP,F,16,-1.0,2.0,other,2.0,0.0,0,0.0,5.0,0.0
169,GP,F,16,0.0,4.0,health,2.0,0.0,0,1.0,2.0,70.0
170,GP,M,16,0.0,3.0,other,1.0,-1.0,0,0.0,5.0,0.0
173,GP,F,16,0.0,1.0,at_home,2.0,3.0,0,1.0,5.0,0.0
174,GP,F,16,0.0,3.0,None,2.0,0.0,0,0.0,5.0,45.0
175,GP,M,17,0.0,4.0,teacher,2.0,0.0,0,0.0,4.0,45.0
176,GP,F,16,0.0,2.0,services,2.0,0.0,0,0.0,4.0,55.0
177,GP,M,17,0.0,3.0,None,2.0,0.0,0,0.0,4.0,30.0
178,GP,M,16,1.0,4.0,teacher,1.0,0.0,0,1.0,3.0,45.0
179,GP,M,17,0.0,4.0,other,2.0,0.0,0,1.0,3.0,55.0
180,GP,M,16,0.0,4.0,teacher,2.0,0.0,0,0.0,3.0,40.0
181,GP,M,16,0.0,3.0,services,2.0,0.0,0,-1.0,3.0,60.0
182,GP,F,17,0.0,2.0,services,2.0,0.0,0,0.0,2.0,85.0
184,GP,F,16,0.0,3.0,other,2.0,0.0,0,0.0,2.0,60.0
185,GP,M,17,0.0,3.0,services,2.0,0.0,0,1.0,4.0,55.0
186,GP,M,16,0.0,1.0,services,1.0,0.0,0,1.0,3.0,55.0
187,GP,M,16,0.0,2.0,other,2.0,0.0,0,1.0,3.0,75.0
188,GP,F,17,0.0,3.0,health,2.0,0.0,0,1.0,3.0,45.0
189,GP,M,17,1.0,1.0,at_home,2.0,0.0,0,0.0,3.0,50.0
190,GP,F,16,0.0,2.0,services,2.0,0.0,0,-1.0,3.0,65.0
191,GP,F,17,0.0,1.0,at_home,2.0,0.0,0,0.0,3.0,45.0
192,GP,M,17,0.0,1.0,at_home,2.0,0.0,0,0.0,4.0,40.0
194,GP,M,16,0.0,2.0,other,1.0,0.0,0,-1.0,3.0,70.0
195,GP,F,17,0.0,2.0,services,2.0,0.0,0,1.0,2.0,75.0
196,GP,M,17,0.0,4.0,services,1.0,0.0,0,0.0,3.0,80.0
197,GP,M,16,1.0,3.0,teacher,1.0,0.0,0,0.0,4.0,50.0
198,GP,F,17,0.0,4.0,services,1.0,1.0,0,0.0,4.0,90.0
199,GP,F,16,0.0,4.0,teacher,2.0,0.0,0,0.0,2.0,50.0
203,GP,F,17,1.0,2.0,other,1.0,0.0,0,0.0,2.0,30.0
204,GP,F,16,1.0,2.0,services,4.0,-1.0,0,-1.0,5.0,55.0
205,GP,F,17,0.0,3.0,at_home,3.0,1.0,0,1.0,3.0,45.0
206,GP,F,16,0.0,3.0,services,2.0,3.0,0,0.0,3.0,35.0
207,GP,F,16,0.0,4.0,teacher,2.0,0.0,0,1.0,2.0,65.0
208,GP,F,16,0.0,1.0,at_home,1.0,0.0,0,0.0,2.0,50.0
209,GP,F,17,1.0,4.0,teacher,3.0,0.0,0,1.0,2.0,35.0
210,GP,F,19,0.0,3.0,other,4.0,0.0,0,0.0,3.0,40.0
212,GP,F,16,0.0,2.0,other,2.0,0.0,1,0.0,4.0,70.0
213,GP,M,18,0.0,2.0,services,2.0,1.0,0,0.0,4.0,40.0
214,GP,F,17,1.0,4.0,services,1.0,-1.0,0,0.0,1.0,50.0
216,GP,F,17,0.0,4.0,other,2.0,2.0,0,1.0,5.0,20.0
217,GP,M,18,0.0,3.0,services,2.0,1.0,0,0.0,4.0,40.0
218,GP,F,17,0.0,2.0,at_home,1.0,0.0,0,0.0,3.0,40.0
219,GP,F,17,0.0,2.0,None,3.0,0.0,0,0.0,3.0,50.0
220,GP,F,17,1.0,2.0,at_home,2.0,0.0,0,0.0,5.0,30.0
223,GP,M,18,0.0,2.0,other,2.0,0.0,0,0.0,3.0,65.0
224,GP,F,16,0.0,4.0,None,3.0,0.0,0,0.0,2.0,70.0
225,GP,F,18,1.0,3.0,other,2.0,1.0,0,1.0,3.0,35.0
226,GP,F,17,0.0,3.0,other,2.0,0.0,0,0.0,4.0,75.0
229,GP,F,17,0.0,2.0,other,3.0,0.0,0,1.0,3.0,60.0
230,GP,F,17,0.0,4.0,health,2.0,0.0,0,1.0,3.0,70.0
231,GP,M,17,1.0,2.0,other,2.0,0.0,0,0.0,2.0,55.0
232,GP,M,17,0.0,4.0,teacher,2.0,0.0,1,1.0,5.0,45.0
233,GP,M,16,0.0,4.0,health,2.0,0.0,0,0.0,4.0,65.0
234,GP,M,16,0.0,1.0,other,2.0,0.0,0,0.0,2.0,30.0
235,GP,M,16,0.0,3.0,at_home,3.0,0.0,0,1.0,3.0,50.0
236,GP,M,17,0.0,2.0,other,2.0,-1.0,0,1.0,2.0,65.0
237,GP,F,16,0.0,2.0,other,1.0,0.0,0,1.0,2.0,60.0
238,GP,F,17,1.0,2.0,at_home,2.0,0.0,0,0.0,1.0,55.0
240,GP,M,17,0.0,4.0,health,2.0,0.0,0,1.0,5.0,60.0
242,GP,M,16,0.0,4.0,teacher,1.0,0.0,0,0.0,5.0,0.0
243,GP,M,16,0.0,4.0,services,1.0,0.0,0,0.0,2.0,60.0
245,GP,M,16,0.0,2.0,other,1.0,0.0,0,0.0,3.0,90.0
246,GP,M,17,0.0,2.0,other,1.0,0.0,0,0.0,2.0,65.0
247,GP,M,22,0.0,3.0,services,1.0,3.0,0,1.0,5.0,40.0
248,GP,M,18,1.0,3.0,other,2.0,1.0,0,1.0,3.0,25.0
249,GP,M,16,0.0,0.0,other,1.0,0.0,0,0.0,2.0,75.0
250,GP,M,18,0.0,3.0,services,1.0,1.0,0,0.0,5.0,40.0
251,GP,M,16,0.0,3.0,at_home,2.0,0.0,1,0.0,3.0,50.0
252,GP,M,18,0.0,2.0,services,1.0,1.0,0,0.0,5.0,40.0
253,GP,M,16,1.0,2.0,other,1.0,0.0,0,0.0,2.0,40.0
255,GP,M,17,0.0,1.0,health,1.0,1.0,0,0.0,4.0,40.0
256,GP,F,17,0.0,4.0,teacher,4.0,0.0,0,0.0,3.0,65.0
257,GP,M,19,0.0,4.0,services,2.0,0.0,0,0.0,1.0,55.0
258,GP,M,18,0.0,2.0,other,2.0,0.0,0,0.0,4.0,70.0
259,GP,F,17,0.0,2.0,services,4.0,0.0,0,1.0,1.0,0.0
260,GP,F,18,0.0,4.0,None,2.0,0.0,0,1.0,2.0,90.0
261,GP,M,18,0.0,4.0,teacher,2.0,-1.0,0,-1.0,2.0,40.0
262,GP,M,18,1.0,3.0,other,3.0,0.0,0,0.0,2.0,60.0
263,GP,F,17,0.0,3.0,other,3.0,0.0,0,0.0,3.0,45.0
264,GP,F,18,0.0,2.0,at_home,3.0,0.0,0,1.0,3.0,0.0
267,GP,F,18,1.0,4.0,teacher,2.0,0.0,0,0.0,4.0,55.0
268,GP,M,18,0.0,4.0,None,2.0,0.0,0,1.0,5.0,50.0
269,GP,F,18,1.0,2.0,other,2.0,0.0,0,1.0,5.0,0.0
271,GP,F,18,0.0,2.0,other,4.0,0.0,0,1.0,5.0,70.0
272,GP,F,18,0.0,1.0,other,2.0,0.0,0,0.0,3.0,55.0
273,GP,M,17,1.0,1.0,at_home,2.0,0.0,0,1.0,2.0,70.0
275,GP,F,17,0.0,2.0,services,2.0,0.0,1,1.0,4.0,60.0
277,GP,M,18,0.0,4.0,None,1.0,0.0,0,0.0,4.0,45.0
278,GP,F,18,0.0,4.0,health,2.0,1.0,1,1.0,4.0,40.0
279,GP,M,18,0.0,4.0,teacher,1.0,0.0,0,0.0,3.0,50.0
281,GP,M,17,0.0,3.0,teacher,1.0,1.0,0,0.0,4.0,50.0
282,GP,F,18,1.0,1.0,at_home,4.0,0.0,0,0.0,2.0,60.0
284,GP,F,17,0.0,2.0,other,2.0,0.0,0,0.0,5.0,55.0
285,GP,M,17,0.0,1.0,other,2.0,0.0,0,0.0,3.0,55.0
286,GP,F,18,0.0,2.0,at_home,3.0,0.0,0,0.0,3.0,95.0
287,GP,F,17,0.0,1.0,services,3.0,0.0,0,0.0,3.0,60.0
288,GP,M,18,0.0,2.0,services,3.0,0.0,0,0.0,4.0,70.0
289,GP,M,18,0.0,4.0,teacher,2.0,0.0,0,0.0,3.0,75.0
290,GP,M,18,0.0,4.0,teacher,2.0,0.0,0,-1.0,2.0,55.0
291,GP,F,17,0.0,4.0,None,3.0,0.0,0,0.0,2.0,75.0
292,GP,F,18,-1.0,2.0,services,2.0,1.0,0,1.0,3.0,65.0
293,GP,F,17,1.0,3.0,services,4.0,0.0,0,-1.0,2.0,90.0
294,GP,M,18,1.0,3.0,services,3.0,0.0,0,0.0,2.0,70.0
295,GP,M,17,0.0,3.0,health,1.0,0.0,0,0.0,3.0,55.0
296,GP,F,19,0.0,4.0,health,2.0,0.0,0,0.0,4.0,0.0
297,GP,F,18,0.0,4.0,other,2.0,0.0,0,1.0,5.0,40.0
298,GP,F,18,0.0,4.0,other,4.0,0.0,0,0.0,3.0,70.0
299,GP,M,18,0.0,4.0,teacher,1.0,0.0,0,1.0,2.0,80.0
300,GP,F,18,0.0,4.0,health,2.0,0.0,0,1.0,4.0,55.0
301,GP,M,17,0.0,4.0,other,1.0,0.0,0,0.0,1.0,50.0
302,GP,F,17,0.0,4.0,other,3.0,0.0,0,0.0,3.0,70.0
303,GP,F,17,0.0,3.0,health,4.0,0.0,0,0.0,2.0,90.0
304,GP,M,19,0.0,3.0,other,2.0,1.0,0,1.0,4.0,65.0
305,GP,F,18,0.0,2.0,services,2.0,1.0,0,0.0,3.0,60.0
306,GP,M,20,0.0,3.0,services,1.0,0.0,0,0.0,3.0,90.0
308,GP,M,19,1.0,3.0,other,2.0,1.0,0,-1.0,3.0,60.0
309,GP,F,19,0.0,1.0,at_home,2.0,1.0,1,0.0,3.0,50.0
310,GP,F,19,0.0,1.0,services,2.0,1.0,0,1.0,4.0,0.0
311,GP,F,19,0.0,2.0,at_home,2.0,0.0,0,1.0,1.0,65.0
313,GP,F,19,0.0,3.0,services,2.0,-1.0,0,1.0,2.0,55.0
316,GP,F,18,0.0,2.0,services,2.0,0.0,0,0.0,3.0,0.0
317,GP,F,18,0.0,4.0,other,3.0,0.0,0,1.0,4.0,45.0
318,GP,F,17,1.0,3.0,at_home,3.0,0.0,0,0.0,4.0,50.0
319,GP,F,18,0.0,4.0,teacher,2.0,0.0,0,0.0,4.0,55.0
320,GP,F,17,0.0,4.0,services,2.0,-1.0,0,1.0,2.0,65.0
323,GP,F,17,0.0,3.0,services,3.0,0.0,0,0.0,3.0,75.0
324,GP,F,17,0.0,0.0,at_home,3.0,0.0,0,0.0,3.0,75.0
325,GP,M,18,0.0,4.0,other,3.0,0.0,0,0.0,3.0,55.0
326,GP,M,17,0.0,3.0,other,1.0,0.0,0,0.0,5.0,80.0
328,GP,F,17,0.0,4.0,teacher,3.0,0.0,0,0.0,4.0,45.0
329,GP,F,17,0.0,4.0,teacher,3.0,0.0,0,1.0,3.0,70.0
330,GP,M,18,0.0,2.0,other,4.0,0.0,0,-1.0,5.0,40.0
331,GP,F,17,1.0,2.0,at_home,3.0,0.0,0,1.0,3.0,70.0
332,GP,F,18,0.0,3.0,services,2.0,0.0,0,0.0,4.0,0.0
333,GP,F,18,0.0,2.0,other,2.0,0.0,0,1.0,3.0,0.0
334,GP,F,18,1.0,2.0,at_home,4.0,0.0,0,0.0,4.0,0.0
335,GP,F,17,0.0,3.0,services,3.0,0.0,0,0.0,5.0,75.0
336,GP,F,19,1.0,3.0,services,3.0,1.0,0,0.0,3.0,65.0
337,GP,F,17,0.0,3.0,None,2.0,0.0,0,1.0,2.0,0.0
338,GP,F,18,0.0,3.0,services,4.0,0.0,0,0.0,3.0,85.0
339,GP,F,17,1.0,3.0,other,2.0,0.0,0,-1.0,3.0,50.0
340,GP,F,19,0.0,2.0,services,3.0,1.0,0,1.0,4.0,55.0
341,GP,M,18,0.0,4.0,teacher,2.0,1.0,0,0.0,3.0,0.0
342,GP,M,18,0.0,3.0,services,2.0,0.0,0,-1.0,3.0,75.0
343,GP,F,17,0.0,2.0,at_home,2.0,1.0,0,1.0,1.0,0.0
344,GP,F,18,0.0,2.0,at_home,3.0,-1.0,0,0.0,3.0,50.0
345,GP,F,18,0.0,3.0,other,3.0,0.0,0,1.0,3.0,70.0
346,GP,M,18,1.0,4.0,teacher,3.0,0.0,0,1.0,2.0,80.0
347,GP,M,18,0.0,4.0,teacher,3.0,0.0,0,1.0,5.0,45.0
348,GP,F,17,-1.0,4.0,health,3.0,0.0,0,1.0,3.0,75.0
349,MS,M,18,1.0,3.0,other,1.0,1.0,0,0.0,5.0,65.0
351,MS,M,17,0.0,3.0,health,2.0,0.0,0,0.0,4.0,65.0
353,MS,M,19,1.0,1.0,other,1.0,1.0,0,0.0,4.0,40.0
354,MS,M,17,-1.0,4.0,services,2.0,0.0,0,1.0,5.0,55.0
355,MS,F,18,0.0,3.0,services,2.0,0.0,0,1.0,4.0,45.0
356,MS,F,17,1.0,4.0,teacher,2.0,0.0,0,0.0,3.0,65.0
357,MS,F,17,0.0,3.0,services,2.0,0.0,0,1.0,3.0,55.0
358,MS,M,18,0.0,1.0,other,1.0,0.0,0,1.0,2.0,50.0
359,MS,F,18,-1.0,1.0,at_home,3.0,0.0,0,0.0,2.0,80.0
360,MS,F,18,1.0,1.0,at_home,2.0,0.0,0,1.0,4.0,65.0
361,MS,M,18,1.0,1.0,at_home,2.0,1.0,0,0.0,3.0,60.0
362,MS,F,18,0.0,3.0,services,2.0,0.0,0,1.0,2.0,50.0
363,MS,F,17,0.0,4.0,at_home,2.0,0.0,0,1.0,4.0,75.0
364,MS,F,17,1.0,1.0,other,2.0,0.0,0,0.0,2.0,60.0
365,MS,M,18,1.0,1.0,at_home,2.0,0.0,0,0.0,4.0,50.0
366,MS,M,18,0.0,4.0,teacher,3.0,0.0,0,1.0,2.0,65.0
367,MS,F,17,1.0,1.0,other,1.0,1.0,0,1.0,1.0,0.0
368,MS,F,18,0.0,2.0,at_home,1.0,0.0,0,1.0,3.0,50.0
369,MS,F,18,1.0,4.0,other,2.0,0.0,0,1.0,2.0,55.0
370,MS,F,19,0.0,3.0,services,2.0,2.0,0,1.0,2.0,45.0
371,MS,M,18,1.0,1.0,at_home,1.0,0.0,0,1.0,3.0,60.0
372,MS,F,17,-1.0,2.0,other,3.0,0.0,0,-1.0,3.0,55.0
373,MS,F,17,1.0,1.0,other,1.0,0.0,0,-1.0,5.0,25.0
374,MS,F,18,1.0,4.0,other,3.0,0.0,0,0.0,4.0,95.0
376,MS,F,20,-1.0,4.0,health,3.0,2.0,0,1.0,3.0,75.0
377,MS,F,18,1.0,4.0,teacher,2.0,0.0,0,0.0,3.0,50.0
378,MS,F,18,0.0,3.0,other,2.0,0.0,0,1.0,3.0,75.0
379,MS,F,17,1.0,3.0,at_home,2.0,0.0,0,0.0,4.0,50.0
380,MS,M,18,0.0,4.0,teacher,2.0,0.0,0,-1.0,4.0,70.0
381,MS,M,18,1.0,2.0,other,1.0,0.0,0,1.0,3.0,35.0
382,MS,M,17,0.0,2.0,other,2.0,0.0,0,0.0,3.0,50.0
383,MS,M,19,1.0,1.0,other,1.0,1.0,0,0.0,2.0,0.0
384,MS,M,18,1.0,4.0,other,1.0,1.0,0,0.0,3.0,25.0
385,MS,F,18,1.0,2.0,at_home,3.0,0.0,0,0.0,3.0,50.0
386,MS,F,18,1.0,4.0,teacher,1.0,0.0,0,1.0,3.0,30.0
387,MS,F,19,1.0,2.0,services,3.0,1.0,0,0.0,2.0,0.0
388,MS,F,18,0.0,3.0,teacher,2.0,0.0,0,0.0,4.0,40.0
